dist_code,state_code,state_name,female_judge,district_name
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,0 nonfemale,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,1 female,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
21,17,Gujarat,-9998 unclear,Bhavnagar
